"","Babacomari.Series","Chihuahuan.Series","Chuska.White.Ware","Cibola.White.Ware","Early.White.Mountain.Red.Ware","Hopi.White.Ware","Jornada.Mogollon.Brown.Ware","Little.Colorado.White.Ware","Lower.Colorado.Buff.Ware","Mesa.Verde.White.Ware","Middle.Gila.Buff.Ware.and.Gray.Ware","Mogollon.Brown.Ware","Prescott.Gray.Ware","Rio.Grande.White.Ware","Salado.Series","Tizon.Brown.Ware","Tsegi.Orange.Ware","Tucson.Basin.Brown.Ware","Tusayan.White.Ware"
"LA 6725",0,0,23.34,0.33,0.98,0,0,0,0,15.3,0,0,0,0,0,0,0,0,0
"LA 6729",0,0,16.28,0,0.28,0,0,0,0,7.19,0,0,0,0,0,0,0,0,1
"Skunk Springs",0,0,9.56,1.89,2.24,0,0,0,0,1.12,0,0,0,0,0,0,0.14,0,0
"LA 7067",0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0
"LA 7068",0,0,13,0,0.46,0,0,0,0,5.15,0,0,0,0,0,0,1,0,0
"LA 7075",0,0,3.86,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0
"LA 7095",0,0,17.43,0,0.38,0,0,2,0,4.59,0,0,0,0,0,0,1,0,0
"LA 7138",0,0,21,0,0,2,0,0,0,15,0,0,0,0,0,0,4,0,0
"LA 7189",0,0,13,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"LA 7192",0,0,4,2,3,0,0,0,0,5,0,0,0,0,0,0,3,0,0
"LA 7200",0,0,37,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
"LA 7290",0,0,16,1,0,0,0,0,0,42,0,0,0,0,0,0,1,0,0
"LA 7318",0,0,13,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"LA 7343",0,0,6,5,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0
"LA 7417",0,0,8,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"LA 7433",0,0,25,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0
"LA 7434",0,0,11.98,0,0,0,0,0,0,12.04,0,0,0,0,0,0,1,0,1
"LA 7465",0,0,21,0,1,0,0,0,0,33,0,0,0,0,0,0,0,0,1
"LA 7475",0,0,35,0,0,0,0,0,0,37,0,0,0,0,0,0,1,0,1
"LA 7501",0,0,15,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0
"LA 7502",0,0,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"LA 7526",0,0,14.27,0,0,0,0,0,0,10.12,0,0,0,0,0,0,0,0,0
"LA 7538",0,0,18,1,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0
"LA 7582",0,0,7.31,0,1.11,0,0,0,0,16.18,0,0,0,0,0,0,0,0,0
"LA 7584",0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"LA 7591",0,0,19,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"LA 7624",0,0,13,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"LA 7641",0,0,6.91,0,0.32,0,0,0,0,8.02,0,0,0,0,0,0,0,0,0
"LA 7690",0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"LA 7704",0,0,4.21,0,0,0,0,0,0,8.99,0,0,0,0,0,0,0,0,0
"LA 7753",0,0,18,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"LA 7778",0,0,7,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0
"LA 7781",0,0,5,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1
"LA 7787",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 7935",0,0,20.15,0,0,0,0,0,0,12.93,0,0,0,0,0,0,0,0,0
"LA 7938",0,0,9.15,0,1.34,0,0,0,0,7.96,0,0,0,0,0,0,1,0,0
"LA 7973",0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"LA 8200",0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"LA 8204",0,0,16,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
"LA 8433",0,0,23,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0
"LA 8458",0,0,24,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0
"LA 8477",0,0,21.86,1.16,4.96,0,0,0,0,31.89,0,0,0,0,0,0,0,0,1
"LA 8500",0,0,9.11,0,1,0,0,0.39,0,12.32,0,0,0,0,0,0,0,0,0
"LA 8519",0,0,26,1,9,0,0,0,0,23,0,0,0,0,0,0,0,0,0
"LA 8549",0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0
"Shannon Bluff-Point",0,0,10.42,0,1.16,0,0,0,0,28.71,0,0,0,0,0,0,0,0,0
"Fruitland Pueblo",0,0,1.8,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0
"Salmon II",0,0,49.73,3.15,195.8,0,0,2,0,22152.74,0,0,0,0,0,0,9.32,0,38.78
"LA 12758",0,0,0.77,0,1.34,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0
"West Water",0,0,4.74,0,0,0,0,0,0,31.34,0,0,0,0,0,0,0,0,0
"LA 13114",0,0,0,0,0,0,0,0,0,31.16,0,0,0,0,0,0,0,0,0
"LA 20266",0,0,0,0,3.69,0,0,0,0,1661.5,0,0,0,0,0,0,0,0,0
"LA 50078",0,0,0,0,0,0,0,0,0,19.57,0,0,0,0,0,0,0,0,0
"LA 52606",0,0,0,0,0.89,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0
"Kello Blancett",0,0,0,0,0.22,0,0,0,0,26.93,0,0,0,0,0,0,0,0,0
"LA 60009",0,0,1.32,0,1.34,0,0,0,0,27.14,0,0,0,0,0,0,1.78,0,0
"LA 60020",0,0,0.65,0,1.48,0,0,0,0,8.39,0,0,0,0,0,0,0.37,0,0
"Morris Old Fort",0,0,0,6.24,0.38,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0
"LA 100068",0,0,0,0.62,3.55,0,0,0,0,38.92,0,0,0,0,0,0,0.57,0,0
"LA 100069",0,0,0,26.78,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0
"LA 100082",0,0,0,0,0,0,0,0,0,18.06,0,0,0,0,0,0,0,0,0
"Awatovi",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9.1,0,24.9
"Heshoda Yala:wa",0,0,0,32.67,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Techado Spring",0,0,0,236.09,331.63,0,0,3,0,0,0,0.27,0,2.44,0,0,0,0,0.54
"Jaralosa",0,0,0,471.34,157.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
